Cat_Code,SBAOfficeCode_cat,ProcessingMethod_cat,LoanStatus_cat,Term_cat,ServicingLenderName_cat,RuralUrbanIndicator_cat,HubzoneIndicator_cat,LMIIndicator_cat,BusinessAgeDescription_cat,CD_cat,Race_cat,Ethnicity_cat,BusinessType_cat,OriginatingLender_cat,Gender_cat,Veteran_cat,NonProfit_cat,NAICSCode_2digits_cat,Verified_Address_cat,CaseLabel_cat
3941,,,,,The First National Bank of Mertzon,,,,,,,,,The First National Bank of Hutchinson,,,,,,
3942,,,,,The First National Bank of Middle Tennessee,,,,,,,,,The First National Bank of Jeanerette,,,,,,
3943,,,,,The First National Bank of Milaca,,,,,,,,,The First National Bank of Johnson,,,,,,
3944,,,,,The First National Bank of Monterey,,,,,,,,,The First National Bank of Lawrence County at Walnut Ridge,,,,,,
3945,,,,,The First National Bank of Moody,,,,,,,,,The First National Bank of Le Center,,,,,,
3946,,,,,The First National Bank of Moose Lake,,,,,,,,,The First National Bank of Lindsay,,,,,,
3947,,,,,The First National Bank of Mount Dora,,,,,,,,,The First National Bank of Litchfield,,,,,,
3948,,,,,"The First National Bank of Nevada, Missouri",,,,,,,,,The First National Bank of Livingston,,,,,,
3949,,,,,The First National Bank of Okawville,,,,,,,,,The First National Bank of Long Island,,,,,,
3950,,,,,The First National Bank of Oneida,,,,,,,,,The First National Bank of Louisburg,,,,,,
3951,,,,,The First National Bank of Osakis,,,,,,,,,The First National Bank of Manchester,,,,,,
3952,,,,,The First National Bank of Pandora,,,,,,,,,The First National Bank of Manning,,,,,,
3953,,,,,The First National Bank of Primghar,,,,,,,,,The First National Bank of McConnelsville,,,,,,
3954,,,,,The First National Bank of Proctor,,,,,,,,,The First National Bank of McGregor d/b/a TFNB Your Bank for Life,,,,,,
3955,,,,,The First National Bank of Quitaque,,,,,,,,,The First National Bank of McIntosh,,,,,,
3956,,,,,The First National Bank of Raymond,,,,,,,,,The First National Bank of Mertzon,,,,,,
3957,,,,,The First National Bank of River Falls,,,,,,,,,The First National Bank of Middle Tennessee,,,,,,
3958,,,,,The First National Bank of Russell Springs,,,,,,,,,The First National Bank of Milaca,,,,,,
3959,,,,,The First National Bank of Scott City,,,,,,,,,The First National Bank of Monterey,,,,,,
3960,,,,,The First National Bank of Shiner,,,,,,,,,The First National Bank of Moody,,,,,,
3961,,,,,The First National Bank of Sonora,,,,,,,,,The First National Bank of Moose Lake,,,,,,
3962,,,,,The First National Bank of South Miami,,,,,,,,,The First National Bank of Mount Dora,,,,,,
3963,,,,,The First National Bank of Sparta,,,,,,,,,"The First National Bank of Nevada, Missouri",,,,,,
3964,,,,,The First National Bank of Spearville,,,,,,,,,The First National Bank of Okawville,,,,,,
3965,,,,,The First National Bank of Sterling City,,,,,,,,,The First National Bank of Oneida,,,,,,
3966,,,,,The First National Bank of Stigler,,,,,,,,,The First National Bank of Osakis,,,,,,
3967,,,,,The First National Bank of Sycamore,,,,,,,,,The First National Bank of Pandora,,,,,,
3968,,,,,The First National Bank of Tom Bean,,,,,,,,,The First National Bank of Primghar,,,,,,
3969,,,,,The First National Bank of Wakefield,,,,,,,,,The First National Bank of Proctor,,,,,,
3970,,,,,The First National Bank of Waverly,,,,,,,,,The First National Bank of Quitaque,,,,,,
3971,,,,,The First National Bank of Waynesboro,,,,,,,,,The First National Bank of Raymond,,,,,,
3972,,,,,The First National Bank of Williamson,,,,,,,,,The First National Bank of River Falls,,,,,,
3973,,,,,The First Security Bank,,,,,,,,,The First National Bank of Russell Springs,,,,,,
3974,,,,,The First State Bank,,,,,,,,,The First National Bank of Scott City,,,,,,
3975,,,,,The First State Bank of Dongola,,,,,,,,,The First National Bank of Shiner,,,,,,
3976,,,,,The First State Bank of Fountain,,,,,,,,,The First National Bank of Sonora,,,,,,
3977,,,,,The First State Bank of Healy,,,,,,,,,The First National Bank of South Miami,,,,,,
3978,,,,,The First State Bank of Malta,,,,,,,,,The First National Bank of Sparta,,,,,,
3979,,,,,The First State Bank of Pond Creek,,,,,,,,,The First National Bank of Spearville,,,,,,
3980,,,,,The First State Bank of Ransom,,,,,,,,,The First National Bank of Sterling City,,,,,,
3981,,,,,The First State Bank of Red Wing,,,,,,,,,The First National Bank of Stigler,,,,,,
3982,,,,,The First State Bank of Rosemount,,,,,,,,,The First National Bank of Sycamore,,,,,,
3983,,,,,The First State Bank of Shelby,,,,,,,,,The First National Bank of Tom Bean,,,,,,
3984,,,,,The First Trust and Savings Bank of Watseka,,,,,,,,,The First National Bank of Wakefield,,,,,,
3985,,,,,The Fisher National Bank,,,,,,,,,The First National Bank of Waverly,,,,,,
3986,,,,,The Fort Jennings State Bank,,,,,,,,,The First National Bank of Waynesboro,,,,,,
3987,,,,,The Fountain Trust Company,,,,,,,,,The First National Bank of Williamson,,,,,,
3988,,,,,The Frederick Community Bank,,,,,,,,,The First Security Bank,,,,,,
3989,,,,,The Freedom Bank of Virginia,,,,,,,,,The First State Bank,,,,,,
3990,,,,,The Friendship State Bank,,,,,,,,,The First State Bank of Dongola,,,,,,
3991,,,,,The Galion Building and Loan Bank,,,,,,,,,The First State Bank of Fountain,,,,,,
3992,,,,,The Garrett State Bank,,,,,,,,,The First State Bank of Healy,,,,,,
3993,,,,,The Gary State Bank,,,,,,,,,The First State Bank of Malta,,,,,,
3994,,,,,The Genoa Banking Company,,,,,,,,,The First State Bank of Pond Creek,,,,,,
3995,,,,,The Geo. D. Warthen Bank,,,,,,,,,The First State Bank of Ransom,,,,,,
3996,,,,,The Gerber State Bank,,,,,,,,,The First State Bank of Red Wing,,,,,,
3997,,,,,The Gifford State Bank,,,,,,,,,The First State Bank of Rosemount,,,,,,
3998,,,,,The Goose River Bank,,,,,,,,,The First State Bank of Shelby,,,,,,
