Cat_Code,SBAOfficeCode_cat,ProcessingMethod_cat,LoanStatus_cat,Term_cat,ServicingLenderName_cat,RuralUrbanIndicator_cat,HubzoneIndicator_cat,LMIIndicator_cat,BusinessAgeDescription_cat,CD_cat,Race_cat,Ethnicity_cat,BusinessType_cat,OriginatingLender_cat,Gender_cat,Veteran_cat,NonProfit_cat,NAICSCode_2digits_cat,Verified_Address_cat,CaseLabel_cat
1342,,,,,FNBT Bank,,,,,,,,,FNB South,,,,,,
1343,,,,,FNCB Bank,,,,,,,,,FNB Washington,,,,,,
1344,,,,,FNNB Bank,,,,,,,,,FNBC Bank,,,,,,
1345,,,,,FVCbank,,,,,,,,,FNBC Bank and Trust,,,,,,
1346,,,,,Fairfax State Savings Bank,,,,,,,,,FNBT Bank,,,,,,
1347,,,,,Fairfield County Bank,,,,,,,,,FNCB Bank,,,,,,
1348,,,,,Fairmont FCU,,,,,,,,,FNNB Bank,,,,,,
1349,,,,,Fairview Savings & Loan Association,,,,,,,,,FVCbank,,,,,,
1350,,,,,Fairview State Banking Company,,,,,,,,,Fairfax State Savings Bank,,,,,,
1351,,,,,Fairwinds CU,,,,,,,,,Fairfield County Bank,,,,,,
1352,,,,,Faith Community United CU Inc.,,,,,,,,,Fairmont FCU,,,,,,
1353,,,,,Falcon International Bank,,,,,,,,,Fairview Savings & Loan Association,,,,,,
1354,,,,,Falcon National Bank,,,,,,,,,Fairview State Banking Company,,,,,,
1355,,,,,Fall River Five Cents Savings Bank d/b/a BankFive,,,,,,,,,Fairwinds CU,,,,,,
1356,,,,,Families and Schools Together FCU,,,,,,,,,Faith Community United CU Inc.,,,,,,
1357,,,,,Family Bank,,,,,,,,,Falcon International Bank,,,,,,
1358,,,,,Family Financial CU,,,,,,,,,Falcon National Bank,,,,,,
1359,,,,,Family First CU,,,,,,,,,Fall River Five Cents Savings Bank d/b/a BankFive,,,,,,
1360,,,,,Fannin Bank,,,,,,,,,Families and Schools Together FCU,,,,,,
1361,,,,,Farm Bureau Bank FSB,,,,,,,,,Family Bank,,,,,,
1362,,,,,"Farm Credit Illinois, ACA",,,,,,,,,Family Financial CU,,,,,,
1363,,,,,"Farm Credit Midsouth, ACA",,,,,,,,,Family First CU,,,,,,
1364,,,,,"Farm Credit Services of America, ACA",,,,,,,,,Fannin Bank,,,,,,
1365,,,,,"Farm Credit Services of Colusa-Glenn, ACA",,,,,,,,,Farm Bureau Bank FSB,,,,,,
1366,,,,,"Farm Credit Services of Eastern Missouri, PCA",,,,,,,,,"Farm Credit Illinois, ACA",,,,,,
1367,,,,,Farm Credit Services of Mandan,,,,,,,,,"Farm Credit Midsouth, ACA",,,,,,
1368,,,,,Farm Credit Services of Mid-America ACA,,,,,,,,,"Farm Credit Services of America, ACA",,,,,,
1369,,,,,"Farm Credit Services of North Dakota, ACA",,,,,,,,,"Farm Credit Services of Colusa-Glenn, ACA",,,,,,
1370,,,,,"Farm Credit Southeast Missouri, ACA",,,,,,,,,"Farm Credit Services of Eastern Missouri, PCA",,,,,,
1371,,,,,"Farm Credit West, PCA",,,,,,,,,Farm Credit Services of Mandan,,,,,,
1372,,,,,"Farm Credit of Central Florida, ACA",,,,,,,,,Farm Credit Services of Mid-America ACA,,,,,,
1373,,,,,"Farm Credit of South Florida, ACA",,,,,,,,,"Farm Credit Services of North Dakota, ACA",,,,,,
1374,,,,,"Farm Credit of Southern Colorado, ACA",,,,,,,,,"Farm Credit Southeast Missouri, ACA",,,,,,
1375,,,,,"Farm Credit of the Virginias, ACA",,,,,,,,,"Farm Credit West, PCA",,,,,,
1376,,,,,Farmers & Mechanics Federal Savings Bank,,,,,,,,,"Farm Credit of Central Florida, ACA",,,,,,
1377,,,,,Farmers & Merchants Bank,,,,,,,,,"Farm Credit of South Florida, ACA",,,,,,
1378,,,,,Farmers & Merchants Bank & Trust,,,,,,,,,"Farm Credit of Southern Colorado, ACA",,,,,,
1379,,,,,Farmers & Merchants Bank of Central California,,,,,,,,,"Farm Credit of the Virginias, ACA",,,,,,
1380,,,,,Farmers & Merchants Bank of Colby,,,,,,,,,Farmers & Mechanics Federal Savings Bank,,,,,,
1381,,,,,Farmers & Merchants Bank of Craig County,,,,,,,,,Farmers & Merchants Bank,,,,,,
1382,,,,,Farmers & Merchants Bank of Hutsonville,,,,,,,,,Farmers & Merchants Bank & Trust,,,,,,
1383,,,,,Farmers & Merchants Bank of Long Beach,,,,,,,,,Farmers & Merchants Bank of Central California,,,,,,
1384,,,,,Farmers & Merchants Bank of North Dakota,,,,,,,,,Farmers & Merchants Bank of Colby,,,,,,
1385,,,,,Farmers & Merchants Savings Bank,,,,,,,,,Farmers & Merchants Bank of Craig County,,,,,,
1386,,,,,Farmers & Merchants State Bank,,,,,,,,,Farmers & Merchants Bank of Hutsonville,,,,,,
1387,,,,,"Farmers & Merchants State Bank of New York Mills, Incorporated",,,,,,,,,Farmers & Merchants Bank of Long Beach,,,,,,
1388,,,,,Farmers & Merchants Union Bank,,,,,,,,,Farmers & Merchants Bank of North Dakota,,,,,,
1389,,,,,Farmers Bank,,,,,,,,,Farmers & Merchants Savings Bank,,,,,,
1390,,,,,Farmers Bank & Trust,,,,,,,,,Farmers & Merchants State Bank,,,,,,
1391,,,,,Farmers Bank & Trust Company,,,,,,,,,"Farmers & Merchants State Bank of New York Mills, Incorporated",,,,,,
1392,,,,,Farmers Bank and Trust Company,,,,,,,,,Farmers & Merchants Union Bank,,,,,,
1393,,,,,"Farmers Bank and Trust Company, Princeton, Kentucky",,,,,,,,,Farmers Bank,,,,,,
1394,,,,,"Farmers Bank of Lohman, Missouri",,,,,,,,,Farmers Bank & Trust,,,,,,
1395,,,,,Farmers Bank of Northern Missouri,,,,,,,,,Farmers Bank & Trust Company,,,,,,
1396,,,,,Farmers Insurance Group FCU,,,,,,,,,Farmers Bank and Trust Company,,,,,,
1397,,,,,Farmers National Bank,,,,,,,,,"Farmers Bank and Trust Company, Princeton, Kentucky",,,,,,
1398,,,,,Farmers National Bank of Griggsville,,,,,,,,,"Farmers Bank of Lohman, Missouri",,,,,,
1399,,,,,Farmers Savings Bank,,,,,,,,,Farmers Bank of Northern Missouri,,,,,,
1400,,,,,Farmers Savings Bank & Trust,,,,,,,,,Farmers Insurance Group FCU,,,,,,
1401,,,,,Farmers State Bank,,,,,,,,,Farmers National Bank,,,,,,
1402,,,,,Farmers State Bank & Trust Co,,,,,,,,,Farmers National Bank of Griggsville,,,,,,
1403,,,,,Farmers State Bank & Trust Co.,,,,,,,,,Farmers Savings Bank,,,,,,
1404,,,,,"Farmers State Bank of Alto Pass, Illinois",,,,,,,,,Farmers Savings Bank & Trust,,,,,,
1405,,,,,Farmers State Bank of Calhan,,,,,,,,,Farmers State Bank,,,,,,
1406,,,,,Farmers State Bank of Canton,,,,,,,,,Farmers State Bank & Trust Co,,,,,,
1407,,,,,Farmers State Bank of Hamel,,,,,,,,,Farmers State Bank & Trust Co.,,,,,,
1408,,,,,Farmers State Bank of Hoffman,,,,,,,,,"Farmers State Bank of Alto Pass, Illinois",,,,,,
1409,,,,,Farmers State Bank of NewCastle,,,,,,,,,Farmers State Bank of Calhan,,,,,,
1410,,,,,Farmers State Bank of Trimont,,,,,,,,,Farmers State Bank of Canton,,,,,,
1411,,,,,Farmers State Bank of Underwood,,,,,,,,,Farmers State Bank of Hamel,,,,,,
1412,,,,,Farmers State Bank of Western Illinois,,,,,,,,,Farmers State Bank of Hoffman,,,,,,
1413,,,,,"Farmers State Bank, Allen, Oklahoma",,,,,,,,,Farmers State Bank of NewCastle,,,,,,
1414,,,,,Farmers Trust & Savings Bank,,,,,,,,,Farmers State Bank of Trimont,,,,,,
1415,,,,,Farmers Trust and Savings Bank,,,,,,,,,Farmers State Bank of Underwood,,,,,,
1416,,,,,Farmers and Drovers Bank,,,,,,,,,Farmers State Bank of Western Illinois,,,,,,
1417,,,,,Farmers and Merchants Bank,,,,,,,,,"Farmers State Bank, Allen, Oklahoma",,,,,,
1418,,,,,Farmers and Merchants Bank of Ashland,,,,,,,,,Farmers Trust & Savings Bank,,,,,,
1419,,,,,"Farmers and Merchants Bank of Mound City, Kansas",,,,,,,,,Farmers Trust and Savings Bank,,,,,,
1420,,,,,Farmers and Merchants Bank of South Carolina,,,,,,,,,Farmers and Drovers Bank,,,,,,
1421,,,,,Farmers and Merchants Bank of St. Clair,,,,,,,,,Farmers and Merchants Bank,,,,,,
1422,,,,,Farmers and Merchants State Bank,,,,,,,,,Farmers and Merchants Bank of Ashland,,,,,,
1423,,,,,Farmers and Merchants State Bank of Alpha,,,,,,,,,"Farmers and Merchants Bank of Mound City, Kansas",,,,,,
1424,,,,,Farmers and Merchants State Bank of Appleton,,,,,,,,,Farmers and Merchants Bank of South Carolina,,,,,,
1425,,,,,Farmers and Merchants State Bank of Bushnell,,,,,,,,,Farmers and Merchants Bank of St. Clair,,,,,,
1426,,,,,Farmers and Merchants State Bank of Pierz,,,,,,,,,Farmers and Merchants State Bank,,,,,,
1427,,,,,Farmers and Merchants State Bank of Springfield,,,,,,,,,Farmers and Merchants State Bank of Alpha,,,,,,
1428,,,,,Farmers and Merchants Trust Company of Chambersburg,,,,,,,,,Farmers and Merchants State Bank of Appleton,,,,,,
1429,,,,,Farmers and Miners Bank,,,,,,,,,Farmers and Merchants State Bank of Bushnell,,,,,,
1430,,,,,Farmers-Merchants Bank & Trust Company,,,,,,,,,Farmers and Merchants State Bank of Pierz,,,,,,
1431,,,,,Farmers-Merchants Bank of Illinois,,,,,,,,,Farmers and Merchants State Bank of Springfield,,,,,,
1432,,,,,"Fayette Savings Bank, ssb",,,,,,,,,Farmers and Merchants Trust Company of Chambersburg,,,,,,
1433,,,,,Fayetteville Bank,,,,,,,,,Farmers and Miners Bank,,,,,,
1434,,,,,Fed – Kabbage,,,,,,,,,Farmers-Merchants Bank & Trust Company,,,,,,
1435,,,,,Federated Bank,,,,,,,,,Farmers-Merchants Bank of Illinois,,,,,,
1436,,,,,Federation Bank,,,,,,,,,"Fayette Savings Bank, ssb",,,,,,
1437,,,,,Feliciana Bank & Trust Company,,,,,,,,,Fayetteville Bank,,,,,,
1438,,,,,Fergus FCU,,,,,,,,,Federated Bank,,,,,,
1439,,,,,Fibre FCU,,,,,,,,,Federation Bank,,,,,,
1440,,,,,Fidelity Bank,,,,,,,,,Feliciana Bank & Trust Company,,,,,,
1441,,,,,Fidelity Bank & Trust,,,,,,,,,Fergus FCU,,,,,,
1442,,,,,Fidelity Bank of Texas,,,,,,,,,Fibre FCU,,,,,,
1443,,,,,"Fidelity Bank, National Association",,,,,,,,,Fidelity Bank,,,,,,
1444,,,,,Fidelity Co-Operative Bank,,,,,,,,,Fidelity Bank & Trust,,,,,,
1445,,,,,Fidelity Deposit and Discount Bank,,,,,,,,,Fidelity Bank of Texas,,,,,,
1446,,,,,Fidelity State Bank and Trust Company,,,,,,,,,"Fidelity Bank, National Association",,,,,,
1447,,,,,Field & Main Bank,,,,,,,,,Fidelity Co-Operative Bank,,,,,,
1448,,,,,Fieldpoint Private Bank & Trust,,,,,,,,,Fidelity Deposit and Discount Bank,,,,,,
1449,,,,,Fifth District Savings Bank,,,,,,,,,Fidelity State Bank and Trust Company,,,,,,
1450,,,,,Fifth Third Bank,,,,,,,,,Field & Main Bank,,,,,,
1451,,,,,Filer CU,,,,,,,,,Fieldpoint Private Bank & Trust,,,,,,
1452,,,,,FinWise Bank,,,,,,,,,Fifth District Savings Bank,,,,,,
1453,,,,,Financial Access FCU,,,,,,,,,Fifth Third Bank,,,,,,
1454,,,,,Financial Center First CU,,,,,,,,,Filer CU,,,,,,
1455,,,,,Financial Federal Bank,,,,,,,,,FinWise Bank,,,,,,
1456,,,,,Financial Plus CU,,,,,,,,,Financial Access FCU,,,,,,
1457,,,,,Financial Resources FCU,,,,,,,,,Financial Center First CU,,,,,,
1458,,,,,Financial Security Bank,,,,,,,,,Financial Federal Bank,,,,,,
1459,,,,,Financial Security CU,,,,,,,,,Financial Partners CU,,,,,,
1460,,,,,FinancialEdge Community CU,,,,,,,,,Financial Plus CU,,,,,,
1461,,,,,FineMark National Bank & Trust,,,,,,,,,Financial Resources FCU,,,,,,
1462,,,,,Firefighters First FCU,,,,,,,,,Financial Security Bank,,,,,,
1463,,,,,Firelands FCU,,,,,,,,,Financial Security CU,,,,,,
1464,,,,,FirsTier Bank,,,,,,,,,FinancialEdge Community CU,,,,,,
1465,,,,,"First & Farmers National Bank, Inc.",,,,,,,,,FineMark National Bank & Trust,,,,,,
1466,,,,,First & Peoples Bank and Trust Company,,,,,,,,,Firefighters First FCU,,,,,,
1467,,,,,First Alliance Credit Union,,,,,,,,,Firelands FCU,,,,,,
1468,,,,,First American Bank,,,,,,,,,FirsTier Bank,,,,,,
1469,,,,,First American Bank & Trust,,,,,,,,,"First & Farmers National Bank, Inc.",,,,,,
1470,,,,,First American Bank & Trust Company,,,,,,,,,First & Peoples Bank and Trust Company,,,,,,
1471,,,,,First American National Bank,,,,,,,,,First Alliance Credit Union,,,,,,
1472,,,,,First American State Bank,,,,,,,,,First American Bank,,,,,,
1473,,,,,First Arkansas Bank and Trust,,,,,,,,,First American Bank & Trust,,,,,,
1474,,,,,First Atlantic FCU,,,,,,,,,First American Bank & Trust Company,,,,,,
1475,,,,,First Bank,,,,,,,,,First American National Bank,,,,,,
1476,,,,,First Bank & Trust,,,,,,,,,First American State Bank,,,,,,
1477,,,,,First Bank & Trust Company,,,,,,,,,First Arkansas Bank and Trust,,,,,,
1478,,,,,First Bank Blue Earth,,,,,,,,,First Atlantic FCU,,,,,,
1479,,,,,First Bank Chicago,,,,,,,,,First Bank,,,,,,
1480,,,,,First Bank Elk River,,,,,,,,,First Bank & Trust,,,,,,
1481,,,,,First Bank Hampton,,,,,,,,,First Bank & Trust Company,,,,,,
1482,,,,,First Bank Kansas,,,,,,,,,First Bank Blue Earth,,,,,,
1483,,,,,First Bank Richmond,,,,,,,,,First Bank Chicago,,,,,,
1484,,,,,First Bank and Trust Co,,,,,,,,,First Bank Elk River,,,,,,
1485,,,,,First Bank and Trust Company,,,,,,,,,First Bank Hampton,,,,,,
1486,,,,,First Bank and Trust Company of Illinois,,,,,,,,,First Bank Kansas,,,,,,
1487,,,,,First Bank and Trust of Fullerton,,,,,,,,,First Bank Richmond,,,,,,
1488,,,,,First Bank and Trust of Memphis,,,,,,,,,First Bank and Trust Co,,,,,,
1489,,,,,First Bank of Alabama,,,,,,,,,First Bank and Trust Company,,,,,,
1490,,,,,First Bank of Bancroft,,,,,,,,,First Bank and Trust Company of Illinois,,,,,,
1491,,,,,First Bank of Beloit,,,,,,,,,First Bank and Trust of Fullerton,,,,,,
1492,,,,,First Bank of Boaz,,,,,,,,,First Bank and Trust of Memphis,,,,,,
1493,,,,,First Bank of Manhattan,,,,,,,,,First Bank of Alabama,,,,,,
1494,,,,,First Bank of Owasso,,,,,,,,,First Bank of Bancroft,,,,,,
1495,,,,,First Bank of Pike,,,,,,,,,First Bank of Beloit,,,,,,
1496,,,,,First Bank of Utica,,,,,,,,,First Bank of Boaz,,,,,,
1497,,,,,First Bank of the Lake,,,,,,,,,First Bank of Manhattan,,,,,,
1498,,,,,"First Bank, Upper Michigan",,,,,,,,,First Bank of Owasso,,,,,,
1499,,,,,"First Bankers Trust Company, National Association",,,,,,,,,First Bank of Pike,,,,,,
1500,,,,,First Basin CU,,,,,,,,,First Bank of Utica,,,,,,
1501,,,,,First Bethany Bank & Trust,,,,,,,,,First Bank of the Lake,,,,,,
1502,,,,,First Business Bank,,,,,,,,,"First Bank, Upper Michigan",,,,,,
1503,,,,,First Cahawba Bank,,,,,,,,,"First Bankers Trust Company, National Association",,,,,,
1504,,,,,First Capital Bank,,,,,,,,,First Basin CU,,,,,,
1505,,,,,First Capital FCU,,,,,,,,,First Bethany Bank & Trust,,,,,,
1506,,,,,First Carolina Bank,,,,,,,,,First Business Bank,,,,,,
1507,,,,,First Central Bank,,,,,,,,,First Cahawba Bank,,,,,,
1508,,,,,First Central Bank McCook,,,,,,,,,First Capital Bank,,,,,,
1509,,,,,First Central State Bank,,,,,,,,,First Capital FCU,,,,,,
1510,,,,,"First Century Bank, National Association",,,,,,,,,First Carolina Bank,,,,,,
1511,,,,,First Chatham Bank,,,,,,,,,First Central Bank,,,,,,
1512,,,,,First Choice Bank,,,,,,,,,First Central Bank McCook,,,,,,
1513,,,,,First Citizens Bank,,,,,,,,,First Central State Bank,,,,,,
1514,,,,,First Citizens Bank of Butte,,,,,,,,,"First Century Bank, National Association",,,,,,
1515,,,,,First Citizens Community Bank,,,,,,,,,First Chatham Bank,,,,,,
1516,,,,,First Citizens FCU,,,,,,,,,First Choice Bank,,,,,,
1517,,,,,First Citizens State Bank,,,,,,,,,First Citizens Bank,,,,,,
1518,,,,,First Colorado National Bank,,,,,,,,,First Citizens Bank of Butte,,,,,,
1519,,,,,First Columbia Bank & Trust Co,,,,,,,,,First Citizens Community Bank,,,,,,
1520,,,,,First Command Bank,,,,,,,,,First Citizens FCU,,,,,,
1521,,,,,First Commerce Bank,,,,,,,,,First Citizens State Bank,,,,,,
1522,,,,,First Commerce CU,,,,,,,,,First Citrus Bank,,,,,,
1523,,,,,First Commercial Bank,,,,,,,,,First Colorado National Bank,,,,,,
1524,,,,,First Commercial Bank (USA),,,,,,,,,First Columbia Bank & Trust Co,,,,,,
1525,,,,,"First Commercial Bank, National Association",,,,,,,,,First Command Bank,,,,,,
1526,,,,,First Commonwealth Bank,,,,,,,,,First Commerce Bank,,,,,,
1527,,,,,First Commonwealth FCU,,,,,,,,,First Commerce CU,,,,,,
1528,,,,,First Community Bank,,,,,,,,,First Commercial Bank,,,,,,
1529,,,,,First Community Bank and Trust,,,,,,,,,First Commercial Bank (USA),,,,,,
1530,,,,,First Community Bank of Central Alabama,,,,,,,,,"First Commercial Bank, National Association",,,,,,
1531,,,,,First Community Bank of Cullman,,,,,,,,,First Commonwealth Bank,,,,,,
1532,,,,,First Community Bank of East Tennessee,,,,,,,,,First Commonwealth FCU,,,,,,
1533,,,,,First Community Bank of Hillsboro,,,,,,,,,First Community Bank,,,,,,
1534,,,,,First Community Bank of Moultrie County,,,,,,,,,First Community Bank and Trust,,,,,,
1535,,,,,First Community Bank of Tennessee,,,,,,,,,First Community Bank of Central Alabama,,,,,,
1536,,,,,"First Community Bank of the Heartland, Inc.",,,,,,,,,First Community Bank of Cullman,,,,,,
1537,,,,,First Community Bank of the Ozarks,,,,,,,,,First Community Bank of East Tennessee,,,,,,
1538,,,,,"First Community Bank, Xenia-Flora",,,,,,,,,First Community Bank of Hillsboro,,,,,,
1539,,,,,First Community CU,,,,,,,,,First Community Bank of Moultrie County,,,,,,
1540,,,,,First County Bank,,,,,,,,,First Community Bank of Tennessee,,,,,,
1541,,,,,First Dakota National Bank,,,,,,,,,"First Community Bank of the Heartland, Inc.",,,,,,
1542,,,,,First Eagle Bank,,,,,,,,,First Community Bank of the Ozarks,,,,,,
1543,,,,,First Education FCU,,,,,,,,,"First Community Bank, Xenia-Flora",,,,,,
1544,,,,,First Enterprise Bank,,,,,,,,,First Community CU,,,,,,
1545,,,,,First Entertainment CU,,,,,,,,,First County Bank,,,,,,
1546,,,,,First Equity Mortgage Bankers Inc.,,,,,,,,,First Dakota National Bank,,,,,,
1547,,,,,First Exchange Bank,,,,,,,,,First Eagle Bank,,,,,,
1548,,,,,First FarmBank,,,,,,,,,First Education FCU,,,,,,
1549,,,,,First Farmers & Merchants Bank,,,,,,,,,First Enterprise Bank,,,,,,
1550,,,,,First Farmers & Merchants National Bank,,,,,,,,,First Entertainment CU,,,,,,
1551,,,,,First Farmers & Merchants State Bank,,,,,,,,,First Equity Mortgage Bankers Inc.,,,,,,
1552,,,,,First Farmers & Merchants State Bank of Grand Meadow,,,,,,,,,First Exchange Bank,,,,,,
1553,,,,,First Farmers Bank & Trust Co.,,,,,,,,,First FarmBank,,,,,,
1554,,,,,First Farmers and Commercial Bank,,,,,,,,,First Farmers & Merchants Bank,,,,,,
1555,,,,,First Farmers and Merchants Bank,,,,,,,,,First Farmers & Merchants National Bank,,,,,,
1556,,,,,First Fed Bank,,,,,,,,,First Farmers & Merchants State Bank,,,,,,
1557,,,,,First Federal Bank,,,,,,,,,First Farmers & Merchants State Bank of Grand Meadow,,,,,,
1558,,,,,First Federal Bank & Trust,,,,,,,,,First Farmers Bank & Trust Co.,,,,,,
1559,,,,,"First Federal Bank Littlefield, Texas",,,,,,,,,First Farmers and Commercial Bank,,,,,,
1560,,,,,First Federal Bank of Louisiana,,,,,,,,,First Farmers and Merchants Bank,,,,,,
1561,,,,,First Federal Bank of Wisconsin,,,,,,,,,First Fed Bank,,,,,,
1562,,,,,First Federal Community Bank,,,,,,,,,First Federal Bank,,,,,,
1563,,,,,"First Federal Community Bank, National Association",,,,,,,,,First Federal Bank & Trust,,,,,,
1564,,,,,"First Federal Community Bank, SSB",,,,,,,,,"First Federal Bank Littlefield, Texas",,,,,,
1565,,,,,"First Federal Savings & Loan Association of Central Illinois, S.B.",,,,,,,,,First Federal Bank of Louisiana,,,,,,
1566,,,,,First Federal Savings & Loan Association of Delta,,,,,,,,,First Federal Bank of Wisconsin,,,,,,
1567,,,,,First Federal Savings & Loan Association of Lakewood,,,,,,,,,First Federal Community Bank,,,,,,
1568,,,,,First Federal Savings & Loan Association of Pascagoula-Moss Point,,,,,,,,,"First Federal Community Bank, National Association",,,,,,
1569,,,,,First Federal Savings Bank,,,,,,,,,"First Federal Community Bank, SSB",,,,,,
1570,,,,,First Federal Savings Bank of Champaign-Urbana,,,,,,,,,"First Federal Savings & Loan Association of Central Illinois, S.B.",,,,,,
1571,,,,,First Federal Savings Bank of Kentucky,,,,,,,,,First Federal Savings & Loan Association of Delta,,,,,,
1572,,,,,"First Federal Savings Bank of Mascoutah, Illinois",,,,,,,,,First Federal Savings & Loan Association of Lakewood,,,,,,
1573,,,,,First Federal Savings Bank of Twin Falls,,,,,,,,,First Federal Savings & Loan Association of Pascagoula-Moss Point,,,,,,
1574,,,,,First Federal Savings Bank of Washington,,,,,,,,,First Federal Savings Bank,,,,,,
1575,,,,,First Federal Savings and Loan Association of Bath,,,,,,,,,First Federal Savings Bank of Champaign-Urbana,,,,,,
1576,,,,,First Fidelity Bank,,,,,,,,,First Federal Savings Bank of Kentucky,,,,,,
1577,,,,,First Financial Bank,,,,,,,,,"First Federal Savings Bank of Mascoutah, Illinois",,,,,,
1578,,,,,First Financial Bank in Winnebago,,,,,,,,,First Federal Savings Bank of Twin Falls,,,,,,
1579,,,,,"First Financial Bank, National Association",,,,,,,,,First Federal Savings Bank of Washington,,,,,,
1580,,,,,First Financial Credit Union,,,,,,,,,First Federal Savings and Loan Association of Bath,,,,,,
1581,,,,,First Financial FCU,,,,,,,,,First Fidelity Bank,,,,,,
1582,,,,,First Financial Northwest Bank,,,,,,,,,First Financial Bank,,,,,,
1583,,,,,First Florida CU,,,,,,,,,First Financial Bank in Winnebago,,,,,,
1584,,,,,First Foundation Bank,,,,,,,,,"First Financial Bank, National Association",,,,,,
1585,,,,,First Freedom Bank,,,,,,,,,First Financial Credit Union,,,,,,
1586,,,,,First General Bank,,,,,,,,,First Financial FCU,,,,,,
1587,,,,,First Guaranty Bank,,,,,,,,,First Financial Northwest Bank,,,,,,
1588,,,,,First Harrison Bank,,,,,,,,,First Florida CU,,,,,,
1589,,,,,First Hawaiian Bank,,,,,,,,,First Foundation Bank,,,,,,
1590,,,,,First Heritage Bank,,,,,,,,,First Freedom Bank,,,,,,
1591,,,,,First Heritage FCU,,,,,,,,,First General Bank,,,,,,
1592,,,,,"First Hope Bank, A National Banking Association",,,,,,,,,First Guaranty Bank,,,,,,
1593,,,,,First Horizon Bank,,,,,,,,,First Harrison Bank,,,,,,
1594,,,,,First IC Bank,,,,,,,,,First Hawaiian Bank,,,,,,
1595,,,,,First Independence Bank,,,,,,,,,First Heritage Bank,,,,,,
1596,,,,,First Independent Bank,,,,,,,,,First Heritage FCU,,,,,,
1597,,,,,First International Bank & Trust,,,,,,,,,"First Hope Bank, A National Banking Association",,,,,,
1598,,,,,First Internet Bank of Indiana,,,,,,,,,First Horizon Bank,,,,,,
1599,,,,,First Interstate Bank,,,,,,,,,First IC Bank,,,,,,
1600,,,,,First Iowa State Bank,,,,,,,,,First Independence Bank,,,,,,
1601,,,,,First Jackson Bank,,,,,,,,,First Independent Bank,,,,,,
1602,,,,,First Kansas Bank,,,,,,,,,First International Bank & Trust,,,,,,
1603,,,,,"First Kentucky Bank, Inc.",,,,,,,,,First Internet Bank of Indiana,,,,,,
1604,,,,,First Keystone Community Bank,,,,,,,,,First Interstate Bank,,,,,,
1605,,,,,First Liberty Bank,,,,,,,,,First Iowa State Bank,,,,,,
1606,,,,,First Merchants Bank,,,,,,,,,First Jackson Bank,,,,,,
1607,,,,,First Metro Bank,,,,,,,,,First Kansas Bank,,,,,,
1608,,,,,"First Mid Bank & Trust, National Association",,,,,,,,,"First Kentucky Bank, Inc.",,,,,,
1609,,,,,First Midwest Bank of Dexter,,,,,,,,,First Keystone Community Bank,,,,,,
1610,,,,,First Midwest Bank of the Ozarks,,,,,,,,,First Liberty Bank,,,,,,
1611,,,,,First Minnetonka City Bank,,,,,,,,,First Merchants Bank,,,,,,
1612,,,,,First Missouri Bank of Semo,,,,,,,,,First Metro Bank,,,,,,
1613,,,,,First Missouri State Bank,,,,,,,,,"First Mid Bank & Trust, National Association",,,,,,
1614,,,,,First Missouri State Bank of Cape County,,,,,,,,,First Midwest Bank of Dexter,,,,,,
1615,,,,,"First Montana Bank, Inc.",,,,,,,,,First Midwest Bank of the Ozarks,,,,,,
1616,,,,,"First Mutual Bank, FSB",,,,,,,,,First Minnetonka City Bank,,,,,,
1617,,,,,First National Bank,,,,,,,,,First Missouri Bank of Semo,,,,,,
1618,,,,,First National Bank & Trust Co,,,,,,,,,First Missouri State Bank,,,,,,
1619,,,,,First National Bank & Trust Company,,,,,,,,,First Missouri State Bank of Cape County,,,,,,
1620,,,,,First National Bank & Trust Company of McAlester,,,,,,,,,"First Montana Bank, Inc.",,,,,,
1621,,,,,First National Bank Alaska,,,,,,,,,"First Mutual Bank, FSB",,,,,,
1622,,,,,"First National Bank Ames, Iowa",,,,,,,,,First National Bank,,,,,,
1623,,,,,First National Bank Colorado,,,,,,,,,First National Bank & Trust Co,,,,,,
1624,,,,,First National Bank Minnesota,,,,,,,,,First National Bank & Trust Company,,,,,,
1625,,,,,First National Bank North,,,,,,,,,First National Bank & Trust Company of McAlester,,,,,,
1626,,,,,First National Bank Northwest Florida,,,,,,,,,First National Bank Alaska,,,,,,
1627,,,,,First National Bank Texas,,,,,,,,,"First National Bank Ames, Iowa",,,,,,
1628,,,,,First National Bank USA,,,,,,,,,First National Bank Colorado,,,,,,
1629,,,,,First National Bank and Trust,,,,,,,,,First National Bank Minnesota,,,,,,
1630,,,,,First National Bank and Trust Co. of Bottineau,,,,,,,,,First National Bank North,,,,,,
1631,,,,,First National Bank and Trust Company,,,,,,,,,First National Bank Northwest Florida,,,,,,
1632,,,,,First National Bank and Trust Company of Ardmore,,,,,,,,,First National Bank Texas,,,,,,
1633,,,,,First National Bank and Trust Company of Weatherford d/b/a First Bank Texas,,,,,,,,,First National Bank USA,,,,,,
1634,,,,,First National Bank at Darlington,,,,,,,,,First National Bank and Trust,,,,,,
1635,,,,,First National Bank in Cimarron,,,,,,,,,First National Bank and Trust Co. of Bottineau,,,,,,
1636,,,,,First National Bank in DeRidder,,,,,,,,,First National Bank and Trust Company,,,,,,
1637,,,,,First National Bank in Frankfort,,,,,,,,,First National Bank and Trust Company of Ardmore,,,,,,
